cik,ticker
0000320193,AAPL
0000789019,MSFT
0001067983,BRK-B
0000731766,UNH
0000200406,JNJ
0001403161,V
0001046179,TSM
0000034088,XOM
0000104169,WMT
0000884394,SPY
0000019617,JPM
0000080424,PG
0001045810,NVDA
0000824046,LVMUY
0001141391,MA
0000093410,CVX
0001318605,TSLA
0000059478,LLY
0000354950,HD
0000070858,BAC
0000078003,PFE
0000021344,KO
0001551152,ABBV
0001577552,BABA
0000353278,NVO
0000077476,PEP
0000909832,COST
0000310158,MRK
0000097745,TMO
0001730168,AVGO
0000313616,DHR
0001744489,DIS
0001094517,TM
0000063908,MCD
0000937966,ASML
0001341439,ORCL
0000001800,ABT
0000858877,CSCO
0001114448,NVS
0000901832,AZN
0001283699,TMUS
0000072971,WFC
0001467373,ACN
0000732712,VZ
0000753308,NEE
0000320187,NKE
0001090727,UPS
0000014272,BMY
0000895421,MS
0001166691,CMCSA
0001108524,CRM
0001163165,COP
0000097476,TXN
0000796343,ADBE
0001413329,PM
0001707925,LIN
0000100885,UNP
0000804328,QCOM
0001000275,RY
0000316709,SCHW
0000064803,CVS
0000811809,BHP
0000879764,TTE
0000060667,LOW
0000318154,AMGN
0000101829,RTX
0001350102,ASTI
0001089113,HSBC
0001144967,HDB
0001613103,MDT
0000773840,HON
0000947263,TD
0000004962,AXP
0000732717,T
0000896878,INTU
0000050863,INTC
0001140625,EQNR
0000217410,UL
0001067839,QQQ
0000936468,LMT
0001633917,PYPL
0000051143,IBM
0001053507,AMT
0000886982,GS
0000315189,DE
0000829224,SBUX
0001065280,NFLX
0000313807,BP
0001121404,SNY
0000835403,DEO
0001000184,SAP
0000018230,CAT
0000008670,ADP
0000887028,RTNTF
0000831001,C
0001739940,CI
0001364742,BLK
0001549802,JD
0000002488,AMD
0001274152,CSLLY
0001303523,BTI
0000313838,SONY
0000863064,RIO
0001001250,EL
0000012927,BA
0001373715,NOW
0001119639,PBR
0001045609,PLD
0001668717,BUD
0001737806,PDD
0000310764,SYK
0000895728,ENB
0000016868,CNI
0000064040,SPGI
0001103982,MDLZ
0000896159,CB
0000092122,SO
0001326160,DUK
0000882095,GILD
0001103838,IBN
0001075531,BKNG
0001559720,ABNB
0000062709,MMC
0000027419,TGT
0000006951,AMAT
0001131399,GSK
0000006281,ADI
0000109198,TJX
0000764180,MO
0001001085,BAM
0001133421,NOC
0000872589,REGN
0001067491,INFY
0000040545,GE
0001524684,GLNCY
0001555280,ZTS
0001035267,ISRG
0001378580,EADSY
0000080661,PGR
0000010795,BDX
0000875320,VRTX
0000821189,EOG
0000823768,WM
0001463157,PBCRY
0000016875,CP
0001438656,IDEXY
0001051470,CCI
